Date,Price_compare,Ethereum_mean,Ethereum_Close,Ethereum_Volume,Ethereum_Open,Ethereum_High,Ethereum_Low,Silver_mean,Silver_Close,Silver_Volume,Silver_Open,Silver_High,Silver_Low,S&P_mean,S&P_Close,S&P_Volume,S&P_Open,S&P_High,S&P_Low,Gold_mean,Gold_Close,Gold_Volume,Gold_Open,Gold_High,Gold_Low,30_year_mean,30_year_Close,30_year_Volume,30_year_Open,30_year_High,30_year_Low
4/11/16,0,8.79,8.64,15138100,8.94,8.95,8,15.68,15.98,71422,15.38,15.99,15.37,2037.45,2034.5,469,2040.4,2051,2033.3,1249.9,1258,151279,1241.8,1260.9,1241.6,166.17,166.09,155022,166.25,166.78,165.34
4/12/16,1,8.04,7.44,23190100,8.64,8.64,7.15,16.09,16.22,72596,15.95,16.23,15.8,2055.85,2055.7,231,2056,2056,2030.9,1260.35,1260.9,148296,1259.8,1264.7,1253,165.52,165.03,181691,166,166.19,164.88
4/13/16,1,7.74,8.04,31403300,7.44,8.72,7.07,16.26,16.33,66253,16.2,16.35,16.02,2066.45,2075.9,546,2057,2075.8,2057,1252.75,1248.3,150426,1257.2,1258.7,1241.4,165.5,165.88,196014,165.13,166.03,164.78
4/14/16,0,8.23,8.39,13590700,8.08,8.76,8.02,16.2,16.17,58447,16.23,16.27,15.93,2076.2,2076.6,426,2075.8,2079.4,2068,1235.15,1226.5,196567,1243.8,1245.9,1225.4,165.5,165.31,234805,165.69,166.06,164.66
4/15/16,1,8.31,8.24,12179000,8.39,8.62,8.1,16.25,16.31,45079,16.19,16.4,16.11,2076.15,2075,221,2077.3,2079.5,2072,1231.55,1234.6,115585,1228.5,1237.6,1226.8,165.66,166.13,177817,165.19,166.53,165.03
4/18/16,0,9.18,9.04,21084100,9.33,9.51,8.5,16.27,16.25,44476,16.3,16.34,16.13,2074.9,2086.7,883,2063.1,2086.1,2058.6,1235.65,1235,143540,1236.3,1243.3,1231.7,165.91,165.38,193044,166.44,166.72,164.84
4/19/16,0,8.9,8.71,12899100,9.08,9.31,8.6,16.6,16.97,104626,16.24,17.11,16.18,2089.75,2093.7,411,2085.8,2097.9,2085,1244.1,1254.3,200511,1233.9,1258.5,1229,165.3,165.06,205911,165.53,165.56,164.41
4/20/16,0,8.58,8.47,15634700,8.69,8.83,8.31,17.05,17.14,89881,16.96,17.26,16.86,2096,2098,333,2094,2098,2086,1252.85,1254.4,158271,1251.3,1259.8,1244,164.25,163.41,277307,165.09,165.91,163.25
4/21/16,0,8.28,8.1,13355400,8.45,8.72,7.96,17.05,17.14,139733,16.96,17.72,16.76,2090.35,2082.8,479,2097.9,2103.5,2095,1247.4,1250.3,261992,1244.5,1272.4,1244.4,163.11,162.69,279707,163.53,163.75,162.16
4/22/16,0,7.99,7.82,13309300,8.15,8.27,7.67,17,16.95,36584,17.06,17.42,16.91,2083.05,2086,335,2080.1,2088.4,2077,1239.25,1230,198388,1248.5,1254.2,1228.5,162.66,162.47,198429,162.84,163.09,162.09
4/25/16,0,7.78,7.55,18239900,8.01,8.09,7.24,17,17.06,24977,16.95,17.2,16.87,2086.65,2083.2,296,2090.1,2090.1,2074.4,1237.35,1240.2,114696,1234.5,1243.8,1231.3,162.2,161.94,171544,162.47,162.81,161.66
4/26/16,1,7.46,7.4,17667300,7.53,7.55,7.06,17.1,17.16,42858,17.05,17.22,16.89,2086.2,2088.4,686,2084,2091,2082,1241.6,1243.4,139982,1239.8,1246.5,1232.7,161.48,161.22,215986,161.75,162.19,160.97
4/27/16,0,7.57,7.76,19254500,7.39,7.97,7.32,17.27,17.34,60199,17.21,17.48,17.1,2086.35,2090.7,143,2082,2092.5,2081.3,1248.05,1250.4,167190,1245.7,1254.6,1240.7,161.97,162.69,216484,161.25,162.75,161.19
4/28/16,1,7.46,7.17,11576000,7.74,7.91,7.17,17.44,17.59,71072,17.29,17.7,17.19,2082.45,2072.4,451,2092.5,2094,2070.7,1256.85,1266.4,214356,1247.3,1271.7,1239.1,162.67,162.75,236636,162.59,163.5,162.03
4/29/16,1,7.33,7.46,8762080,7.21,7.73,7.17,17.72,17.82,64738,17.63,18.02,17.62,2066.25,2059.1,563,2073.4,2075,2057.2,1279.25,1290.5,249603,1268,1299,1267,163.2,163.31,275484,163.09,163.5,161.81
5/2/16,0,9.53,10.16,41019200,8.89,10.32,8.85,17.78,17.68,55255,17.88,18.06,17.53,2066.55,2074.3,493,2058.8,2076,2056.2,1295,1295.8,193092,1294.2,1306,1289.6,162.63,162.19,183418,163.06,163.53,161.94
