Date,Price_compare,Ethereum_Close,Ethereum_Volume,Ethereum_Open,Ethereum_High,Ethereum_Low,Silver_Close,Silver_Volume,Silver_Open,Silver_High,Silver_Low,S&P_Close,S&P_Volume,S&P_Open,S&P_High,S&P_Low,Gold_Close,Gold_Volume,Gold_Open,Gold_High,Gold_Low,30_year_Close,30_year_Volume,30_year_Open,30_year_High,30_year_Low
4/8/21,,2075.85,25312956529,1997.74,2097.6,2070.14,25.585,59692,25.21,25.675,25.02,4089,N/A,4089,4089,4089,1758.2,140648,1738.6,1759.4,1733.6,156.7812,289379,155.9688,157.0938,155.9375
4/7/21,UP,1992.68,36116271935,2104.49,1994.32,1951.83,25.247,42705,25.21,25.33,25.125,4069.9,8,4058.3,4059.2,4058.3,1741.6,118174,1744.4,1744.1,1736,156.375,301183,156.4062,156.2812,155.9062
4/6/21,Down,2104.03,29222865881,2114.96,2128.25,2082.07,25.227,52014,24.905,25.225,25.16,4009.9,N/A,4009.9,4009.9,4009.9,1743,148878,1729.2,1745.5,1742.2,156.5312,320425,155.9062,156.625,155.5938
4/5/21,Down,2121.24,28889391170,2029.49,2150.78,2108.81,24.78,38324,25.05,25.14,24.66,4009.9,N/A,4009.9,4009.9,4009.9,1728.8,100575,1730,1734.4,1721.6,155.5938,207421,155.6562,156.1875,155.1875
4/1/21,UP,1993.19,30914259795,1925.82,2010.3,1949.99,24.948,62056,24.46,25.045,24.27,4009.9,N/A,4009.9,4009.9,4009.9,1728.4,166688,1709,1732,1706.4,155.6875,89424,156.4062,156.8125,155.5
3/31/21,UP,1917.44,30226902621,1839.94,1944.08,1914.09,24.532,64445,24.045,24.565,23.74,4064,16,3947.3,3953.7,3947.3,1715.6,205346,1685.9,1716.3,1677.3,154.5938,605914,155.3125,155.4375,154.5
3/30/21,UP,1819.79,22512781703,1793.72,1861.85,1817.09,24.137,68953,24.725,24.77,23.88,3947.7,1,3949.3,3949.3,3949.3,1686,218812,1713,1714.8,1678.3,155.0312,452379,155.0312,155.375,155.1562
3/29/21,UP,1796.9,22796570548,1694.6,1827.16,1788.6,24.771,51320,25.105,25.15,24.48,3958.9,16,3943.6,3949.9,3943.6,1714.6,171876,1732.4,1734.8,1705.6,154.7812,336250,155.5938,156.4375,154.6875
3/26/21,UP,1694.38,22548516548,1612.97,1717.19,1687.49,25.114,41109,25.15,25.335,24.92,3964.8,N/A,3964.8,3964.8,3964.8,1734.7,98882,1727.5,1737.9,1721.2,155.9688,372301,156.2188,156.5938,155.3125
3/25/21,UP,1620.25,29650328701,1570.57,1628.28,1586.36,25.047,84471,25.17,25.24,24.925,3900.5,N/A,3900.5,3900.5,3900.5,1727.3,73549,1736,1732.2,1722.5,156.6875,500866,156.7812,157.25,156.2188
