,,Open,High,Low,Close,BtcVolume,Market Cap,BtcMean
1,24-Apr-21,51143.23,51167.56,48805.28,50050.87,49014494781,9.35E+11,50597.05
2,23-Apr-21,51739.81,52120.79,47714.66,51093.65,86668667320,9.55E+11,51416.73
3,22-Apr-21,53857.11,55410.23,50583.81,51762.27,74798630778,9.67E+11,52809.69
4,21-Apr-21,56471.13,56757.97,53695.47,53906.09,54926612466,1.01E+12,55188.61
5,20-Apr-21,55681.79,57062.15,53448.05,56473.03,67849323955,1.06E+12,56077.41
6,19-Apr-21,56191.58,57520.05,54368.59,55724.27,65344865159,1.04E+12,55957.925
7,18-Apr-21,60701.89,61057.46,52829.54,56216.19,97468872758,1.05E+12,58459.04
8,17-Apr-21,61529.92,62572.18,60361.35,60683.82,66138759198,1.13E+12,61106.87
9,16-Apr-21,63258.51,63594.72,60222.53,61572.79,84293007468,1.15E+12,62415.65
10,15-Apr-21,63075.2,63821.67,62208.96,63314.01,60954381579,1.18E+12,63194.605
11,14-Apr-21,63523.75,64863.1,61554.8,63109.7,77451779687,1.18E+12,63316.725
12,13-Apr-21,59890.02,63742.28,59869.96,63503.46,69983454362,1.19E+12,61696.74
13,12-Apr-21,60175.94,61253.04,59589.87,59893.45,51828688519,1.12E+12,60034.695
14,11-Apr-21,59846.23,60790.56,59289.8,60204.96,46280252580,1.12E+12,60025.595
15,10-Apr-21,58253.78,61276.67,58038.71,59793.24,58238470525,1.12E+12,59023.51
16,9-Apr-21,58326.56,58937.05,57807.86,58245,46655208546,1.09E+12,58285.78
17,8-Apr-21,56099.91,58338.74,55879.08,58323.95,53053855641,1.09E+12,57211.93
18,7-Apr-21,58186.51,58731.14,55604.02,56048.94,75645303584,1.05E+12,57117.725
19,6-Apr-21,59171.93,59479.58,57646.81,58192.36,66058027988,1.09E+12,58682.145
20,5-Apr-21,58760.87,59891.3,57694.83,59057.88,60706272115,1.10E+12,58909.375
21,4-Apr-21,57604.84,58913.75,57168.68,58758.56,50749662970,1.10E+12,58181.7
22,3-Apr-21,59397.41,60110.27,57603.89,57603.89,59641344484,1.08E+12,58500.65
23,2-Apr-21,59098.88,60267.19,58869.28,59384.31,58727860620,1.11E+12,59241.595
24,1-Apr-21,58926.56,59586.07,58505.28,59095.81,61669163792,1.10E+12,59011.185
25,31-Mar-21,58930.28,59930.03,57726.42,58918.83,65520826225,1.10E+12,58924.555
26,30-Mar-21,57750.13,59447.22,57251.55,58917.69,54414116432,1.10E+12,58333.91
27,29-Mar-21,55947.9,58342.1,55139.34,57750.2,57625587027,1.08E+12,56849.05
28,28-Mar-21,55974.94,56610.31,55071.11,55950.75,47686580918,1.04E+12,55962.845
29,27-Mar-21,55137.57,56568.22,54242.91,55973.51,47266542233,1.04E+12,55555.54
