,Date,Open,High,Low,Close,BinanceCoinVolume,Market Cap,BinanceCoinMean
1,24-Apr-21,526.76,527.44,483.96,496.42,4070234640,76166401717,511.59
2,23-Apr-21,505.86,530.07,452.44,526.57,8893557870,80792431547,516.215
3,22-Apr-21,544.01,582.04,481.26,506.01,8342960849,77639041510,525.01
4,21-Apr-21,586.9,612.69,537.35,546.02,8456300946,83777978676,566.46
5,20-Apr-21,503.8,588.06,475.59,587.03,9330924061,90069573288,545.415
6,19-Apr-21,481.4,539.71,469.15,505.09,7141301320,77497870497,493.245
7,18-Apr-21,520.59,526.06,429.05,481.03,6711806048,73806479141,500.81
8,17-Apr-21,509.58,548.6,509.05,520.42,5195399091,79849049194,515
9,16-Apr-21,542.57,548.89,493.01,510.22,6886285728,78284562613,526.395
10,15-Apr-21,550.41,556.83,536.08,542.63,4608061831,83854448856,546.52
11,14-Apr-21,550.4,590.42,526.53,549.59,7452346448,84929962001,549.995
12,13-Apr-21,596.99,602.3,532.96,549.59,9433830832,84929138157,573.29
13,12-Apr-21,526.7,637.44,516.28,598.72,14436315725,92522278160,562.71
14,11-Apr-21,471.65,529.65,459.59,525.39,5697422904,81189295175,498.52
15,10-Apr-21,454.34,487.28,451.36,472.56,6160670397,73026065780,463.45
16,9-Apr-21,418.05,453.7,405.44,453.18,4701175013,70030932980,435.615
17,8-Apr-21,376.27,422.47,372.52,418.04,4550316562,64600635460,397.155
18,7-Apr-21,403.7,414.36,358.74,374.66,5976362849,57897068143,389.18
19,6-Apr-21,368.1,412.26,364.13,403.59,5277448222,62368004529,385.845
20,5-Apr-21,351.24,381.03,339.46,367.77,4073047973,56832907205,359.505
21,4-Apr-21,323.35,353.43,319.85,351.62,3200674446,54337497318,337.485
22,3-Apr-21,338.91,349.63,319.19,323.13,2953164849,49934722802,331.02
23,2-Apr-21,335.09,356.78,329.75,339.01,3950524039,52387808184,337.05
24,1-Apr-21,302.25,339.21,301.59,335.21,3718677616,51801379680,318.73
25,31-Mar-21,311.55,316.49,289.01,302.06,3545493416,46678707631,306.805
26,30-Mar-21,275.24,311.43,271.58,311.43,4039620710,48125603373,293.335
