,Date,Open,High,Low,Close,BinanceUSDVolume,Market Cap,BinanceUSDMean
1,24-Apr-21,1,1,0.9998,0.9998,4863225219,6975179466,0.9999
2,23-Apr-21,1,1,0.9998,1,10624521474,5387040813,1
3,22-Apr-21,0.9999,1,0.9998,1,9854348656,5386991133,0.99995
4,21-Apr-21,1,1,0.9998,1,6822678754,5403392933,1
5,20-Apr-21,1,1,0.9998,1,8141972355,5403424658,1
6,19-Apr-21,0.9999,1,0.9998,1,7509179326,5403365088,0.99995
7,18-Apr-21,1.01,1.03,0.9998,1,9846263412,5403164927,1.005
8,17-Apr-21,1,1.01,0.9986,1.01,6905619164,5459152909,1.005
9,16-Apr-21,1,1,0.9992,1,11217609808,5408938403,1
10,15-Apr-21,1,1,0.9997,1,6612123049,5405042609,1
11,14-Apr-21,0.9991,1,0.9989,1,8069263416,5363734072,0.99955
12,13-Apr-21,1,1,0.9991,0.9991,7773117246,5244235478,0.99955
13,12-Apr-21,1,1,0.9999,1,6781354071,5070508332,1
14,11-Apr-21,1,1,0.9995,1,4657233454,5034841990,1
15,10-Apr-21,1,1,0.9982,1,5696259791,4931578728,1
16,9-Apr-21,1,1,1,1,4245963330,4919595150,1
17,8-Apr-21,1,1,1,1,4555178182,4632347069,1
18,7-Apr-21,1,1,1,1,6256873431,4212530768,1
19,6-Apr-21,1,1,0.9993,1,4797513156,4023683135,1
20,5-Apr-21,1,1,0.9998,1,4181331044,4040529484,1
21,4-Apr-21,1,1.01,1,1,2849133540,4037259243,1
22,3-Apr-21,1,1,0.9981,1,3420729529,3978797087,1
23,2-Apr-21,1,1,0.9992,1,3774515539,3830822962,1
24,1-Apr-21,0.9997,1,0.9995,1,3588559550,3542315720,0.99985
25,31-Mar-21,1,1,0.9991,0.9996,3945694093,3514020535,0.9998
26,30-Mar-21,1,1,0.9993,1,3361845411,3589171838,1
27,29-Mar-21,1,1,0.9992,1,3135519781,3479639368,1
28,28-Mar-21,1,1,1,1,2559940764,3487067962,1
29,27-Mar-21,1,1,0.9998,1,2945334867,3461667993,1
30,26-Mar-21,1,1,0.9993,1,3351756564,3352706701,1
31,25-Mar-21,1,1,1,1,4386998346,3289697389,1
32,24-Mar-21,1,1,0.9998,1,4039309604,3358020796,1
33,23-Mar-21,1,1,1,1,3341348302,3387790083,1
34,22-Mar-21,1,1,0.9988,1,3500459259,3359710708,1
