,Date,Open,High,Low,Close,CardanoVolume,Market Cap,CardanoMean
1,24-Apr-21,1.16,1.20,1.10,1.10,3566224272,35186428203,1.13
2,23-Apr-21,1.15,1.17,0.94,1.16,7196378408,36922722804,1.155
3,22-Apr-21,1.20,1.28,1.12,1.15,4693396293,36645258024,1.175
4,21-Apr-21,1.27,1.29,1.20,1.21,4078624182,38553136747,1.24
5,20-Apr-21,1.19,1.28,1.13,1.27,4855633658,40444459861,1.23
6,19-Apr-21,1.28,1.32,1.17,1.20,5665978235,38272759892,1.24
7,18-Apr-21,1.39,1.40,1.10,1.28,7454680286,40750096836,1.335
8,17-Apr-21,1.41,1.46,1.37,1.38,4058018560,44244219073,1.395
9,16-Apr-21,1.48,1.52,1.34,1.42,5692183858,45269118282,1.45
10,15-Apr-21,1.45,1.49,1.42,1.48,5337358369,47334226350,1.465
11,14-Apr-21,1.41,1.56,1.35,1.46,9596107541,46498212198,1.435
12,13-Apr-21,1.31,1.44,1.28,1.41,5896543066,45104180472,1.36
13,12-Apr-21,1.27,1.35,1.27,1.32,4918248258,42048031658,1.295
14,11-Apr-21,1.22,1.29,1.20,1.27,3636786443,40470031448,1.245
15,10-Apr-21,1.20,1.25,1.20,1.22,2481275569,38937266407,1.21
16,9-Apr-21,1.22,1.23,1.19,1.20,1678933674,38451053585,1.21
17,8-Apr-21,1.18,1.22,1.17,1.22,2315835365,38958913858,1.2
18,7-Apr-21,1.26,1.29,1.17,1.18,4771395490,37544017970,1.22
19,6-Apr-21,1.21,1.34,1.20,1.26,6301229657,40106447233,1.235
20,5-Apr-21,1.19,1.23,1.18,1.21,2992739340,38794825908,1.2
21,4-Apr-21,1.17,1.20,1.17,1.19,2166855014,38063850601,1.18
22,3-Apr-21,1.20,1.24,1.17,1.17,3355350115,37484228834,1.185
23,2-Apr-21,1.19,1.25,1.19,1.20,2909026267,38226452476,1.195
24,1-Apr-21,1.19,1.21,1.18,1.19,2309789364,37994346512,1.19
25,31-Mar-21,1.21,1.21,1.17,1.19,3190463749,38122781325,1.2
26,30-Mar-21,1.20,1.23,1.19,1.21,2517422843,38763410938,1.205
27,29-Mar-21,1.19,1.23,1.18,1.20,2554597106,38419153521,1.195
28,28-Mar-21,1.18,1.22,1.17,1.19,2397009016,38054391213,1.185
29,27-Mar-21,1.21,1.24,1.16,1.18,3106871131,37589641439,1.195
30,26-Mar-21,1.10,1.28,1.10,1.21,6325795912,38784256431,1.155
31,25-Mar-21,1.07,1.15,1.06,1.10,5732698268,35193427842,1.085
32,24-Mar-21,1.12,1.16,1.06,1.08,3759287517,34344508821,1.1
33,23-Mar-21,1.11,1.17,1.09,1.12,4609407773,35831695679,1.115
34,22-Mar-21,1.19,1.21,1.09,1.11,4058067310,35458596654,1.15
35,21-Mar-21,1.21,1.24,1.16,1.19,4064084727,37991018691,1.2
36,20-Mar-21,1.30,1.31,1.21,1.21,4316999916,38546959900,1.255
37,19-Mar-21,1.24,1.34,1.20,1.30,7970282918,41602128113,1.27
38,18-Mar-21,1.38,1.47,1.24,1.24,11392835545,39584149301,1.31
39,17-Mar-21,1.24,1.42,1.21,1.38,10046495758,44046287352,1.31
40,16-Mar-21,1.03,1.26,1.00,1.24,9502962157,39710232338,1.135
41,15-Mar-21,1.06,1.07,1.01,1.03,4545451677,33019817868,1.045
42,14-Mar-21,1.10,1.10,1.06,1.06,3738147940,33838166627,1.08
43,13-Mar-21,1.04,1.18,0.99,1.10,5871086058,35249017882,1.07
44,12-Mar-21,1.12,1.13,1.03,1.04,4224893051,33198891101,1.08
45,11-Mar-21,1.13,1.14,1.11,1.12,3633460869,35935123941,1.125
46,10-Mar-21,1.20,1.20,1.12,1.14,4215428913,36261417319,1.17
47,9-Mar-21,1.12,1.21,1.11,1.20,5317733185,38183375234,1.16
48,8-Mar-21,1.13,1.18,1.11,1.12,3557114310,35719914246,1.125
49,7-Mar-21,1.13,1.14,1.11,1.13,4204795554,36209148044,1.13
50,6-Mar-21,1.17,1.18,1.09,1.13,5348048001,36133913814,1.15
51,5-Mar-21,1.11,1.20,1.04,1.17,7325099027,37332335359,1.14
52,4-Mar-21,1.22,1.23,1.07,1.11,7164490225,35618147966,1.165
53,3-Mar-21,1.23,1.26,1.21,1.22,4937160429,38868096418,1.225
54,2-Mar-21,1.29,1.30,1.19,1.23,8118255106,39155277835,1.26
55,1-Mar-21,1.31,1.34,1.24,1.29,9775330113,41289607566,1.3
56,28-Feb-21,1.32,1.36,1.17,1.31,15732556180,40696967235,1.315
57,27-Feb-21,1.24,1.48,1.23,1.32,19141980288,41219695427,1.28
58,26-Feb-21,1.08,1.29,1.00,1.24,14884142109,38613872246,1.16
59,25-Feb-21,1.05,1.17,1.02,1.08,8248286269,33573986145,1.065
60,24-Feb-21,0.96,1.07,0.90,1.05,8481334623,32719650909,1.005
61,23-Feb-21,1.10,1.13,0.82,0.95,11201900117,29703373313,1.025
62,22-Feb-21,1.10,1.13,0.85,1.10,10562051439,34197312215,1.1
63,21-Feb-21,1.12,1.15,1.08,1.10,7042361464,34239897895,1.11
64,20-Feb-21,0.93,1.19,0.92,1.12,11454890463,34938012154,1.025
65,19-Feb-21,0.91,0.94,0.89,0.93,4582877243,28861468234,0.92
66,18-Feb-21,0.89,0.96,0.89,0.91,4918032802,28440499325,0.9
67,17-Feb-21,0.87,0.90,0.83,0.89,5841828077,27718724943,0.88
68,16-Feb-21,0.86,0.90,0.84,0.87,6948621246,27097447122,0.865
69,15-Feb-21,0.85,0.91,0.72,0.86,8979888270,26788220383,0.855
70,14-Feb-21,0.91,0.91,0.82,0.85,7159401195,26396411405,0.88
71,13-Feb-21,0.93,0.95,0.83,0.91,7532474270,28179179477,0.92
72,12-Feb-21,0.93,0.95,0.87,0.93,8035829513,28797323576,0.93
73,11-Feb-21,0.93,0.97,0.87,0.93,10627183208,28864337307,0.93
74,10-Feb-21,0.70,0.94,0.70,0.93,12667653585,28944519827,0.815
75,9-Feb-21,0.68,0.71,0.67,0.70,5885048712,21888135138,0.69
76,8-Feb-21,0.66,0.72,0.63,0.68,9056514741,21234605388,0.67
77,7-Feb-21,0.63,0.70,0.59,0.66,11252055620,20634977899,0.645
78,6-Feb-21,0.54,0.66,0.52,0.63,8109402422,19535078373,0.585
79,5-Feb-21,0.44,0.56,0.44,0.54,6808411307,16734586379,0.49
80,4-Feb-21,0.44,0.45,0.41,0.44,3553059568,13722204142,0.44
81,3-Feb-21,0.43,0.45,0.42,0.44,3648896567,13733039801,0.435
82,2-Feb-21,0.40,0.45,0.39,0.43,6504904709,13261606049,0.415
83,1-Feb-21,0.34,0.42,0.33,0.40,3838085989,12508252626,0.37
84,31-Jan-21,0.36,0.38,0.34,0.34,2455679992,10730622858,0.35
85,30-Jan-21,0.35,0.37,0.34,0.36,2866173269,11281969894,0.355
86,29-Jan-21,0.35,0.37,0.33,0.35,3367098095,10831223506,0.35
87,28-Jan-21,0.31,0.35,0.31,0.35,2863036709,10768923912,0.33
88,27-Jan-21,0.34,0.34,0.31,0.31,2666764973,9740709694,0.325
89,26-Jan-21,0.34,0.35,0.33,0.34,2557745015,10709963534,0.34
90,25-Jan-21,0.35,0.36,0.34,0.34,2339817092,10699148306,0.345
91,24-Jan-21,0.35,0.37,0.34,0.35,2539663711,11010118427,0.35
92,23-Jan-21,0.35,0.36,0.34,0.35,2781033956,10753827794,0.35
93,22-Jan-21,0.31,0.36,0.28,0.35,4066222238,10876193809,0.33
94,21-Jan-21,0.38,0.38,0.30,0.31,3567902823,9651363869,0.345
95,20-Jan-21,0.37,0.38,0.33,0.38,3281600988,11679436460,0.375
96,19-Jan-21,0.37,0.38,0.36,0.37,2957453653,11484768156,0.37
97,18-Jan-21,0.38,0.40,0.37,0.37,3480282508,11556043622,0.375
98,17-Jan-21,0.35,0.40,0.34,0.38,5617481334,11818146766,0.365
99,16-Jan-21,0.30,0.37,0.30,0.35,4476161885,10965408630,0.325
100,15-Jan-21,0.31,0.33,0.28,0.30,3171984602,9412470214,0.305
101,14-Jan-21,0.31,0.32,0.30,0.31,2686785564,9657183562,0.31
102,13-Jan-21,0.29,0.31,0.27,0.31,2656935144,9757153488,0.3
103,12-Jan-21,0.28,0.31,0.27,0.29,4037298875,8929377217,0.285
104,11-Jan-21,0.31,0.31,0.23,0.28,4768803200,8570417665,0.295
105,10-Jan-21,0.33,0.34,0.28,0.30,3732911206,9486050469,0.315
106,9-Jan-21,0.31,0.34,0.30,0.33,3655608662,10359612261,0.32
107,8-Jan-21,0.30,0.32,0.27,0.31,4560690774,9507877119,0.305
108,7-Jan-21,0.33,0.35,0.28,0.30,5149188552,9333113824,0.315
109,6-Jan-21,0.26,0.35,0.26,0.33,6170988900,10326186774,0.295
110,5-Jan-21,0.22,0.26,0.21,0.26,4097207384,8036779511,0.24
111,4-Jan-21,0.21,0.24,0.19,0.22,3260699086,6992916199,0.215
112,3-Jan-21,0.18,0.21,0.17,0.21,2303857909,6377915102,0.195
113,2-Jan-21,0.18,0.18,0.17,0.18,1408849504,5520054873,0.18
114,1-Jan-21,0.18,0.18,0.17,0.18,1122218004,5455571953,0.18
115,31-Dec-20,0.18,0.19,0.18,0.18,1132268397,5643713241,0.18
116,30-Dec-20,0.19,0.19,0.18,0.18,1849432295,5725936828,0.185
117,29-Dec-20,0.18,0.20,0.17,0.19,2967669490,5978703149,0.185
