,Date,Open,High,Low,Close,DaiVolume,Market Cap,DaiMean
1,24-Apr-21,1,1,0.9988,0.9997,463129005,3597480353,0.99985
2,23-Apr-21,0.9991,1,0.9981,1,887351576,3580581184,0.99955
3,22-Apr-21,1,1,0.9974,0.9995,741321561,3600049668,0.99975
4,21-Apr-21,0.9997,1,0.9976,1,541724830,3595580685,0.99985
5,20-Apr-21,0.9992,1,0.9932,0.9995,504472488,3574855686,0.99935
6,19-Apr-21,0.9995,1,0.997,0.9993,552493254,3568115026,0.9994
7,18-Apr-21,1.01,1.03,0.9983,0.9992,796538401,3559846719,1.0046
8,17-Apr-21,1,1.01,0.999,1.01,347273395,3618543171,1.005
9,16-Apr-21,1,1,0.9998,1,438568670,3482728689,1
10,15-Apr-21,1,1,1,1,377419555,3335703339,1
11,14-Apr-21,0.9998,1,0.9994,1,481363225,3284577270,0.9999
12,13-Apr-21,1,1,0.9993,0.9998,370795996,3304137244,0.9999
13,12-Apr-21,1,1,0.9998,1,271473757,3263872319,1
14,11-Apr-21,1,1,0.9993,1,239449819,3283427603,1
15,10-Apr-21,1,1,0.998,1,304029632,3257554688,1
16,9-Apr-21,1.01,1.01,1,1,238416833,3197339504,1.005
17,8-Apr-21,1,1.01,1,1.01,274811495,3198482687,1.005
18,7-Apr-21,1,1,1,1,404924089,3181264516,1
19,6-Apr-21,1,1,0.9997,1,351473797,3193830104,1
20,5-Apr-21,1.01,1.01,0.9996,1,373221031,3172254273,1.005
21,4-Apr-21,1,1.01,1,1.01,316257511,3206103303,1.005
22,3-Apr-21,1.01,1.01,1,1,428124063,3183210637,1.005
23,2-Apr-21,1,1.01,1,1,385816021,3158956436,1
24,1-Apr-21,1,1.01,0.9993,1,337707837,3062459338,1
25,31-Mar-21,1,1.01,1,1,324719221,3027114382,1
26,30-Mar-21,1,1,1,1,243945747,3025073804,1
27,29-Mar-21,1,1.02,0.9993,1,295091258,3016432493,1
28,28-Mar-21,1,1,1,1,257575304,2989478008,1
29,27-Mar-21,1,1.01,1,1,251211601,2976593863,1
30,26-Mar-21,1,1.01,1,1.01,242079459,2971508899,1.005
31,25-Mar-21,1,1.01,0.9985,1,282784219,2942376138,1
32,24-Mar-21,1,1.01,0.9989,1,307223258,2923784400,1
33,23-Mar-21,0.9996,1.01,0.9979,1,289970073,2931094321,0.9998
34,22-Mar-21,1,1.01,0.9977,0.9996,303031779,2910253619,0.9998
35,21-Mar-21,1,1.01,0.9989,1,205061220,2888155180,1
36,20-Mar-21,1,1.01,1,1,182019409,2876356980,1
37,19-Mar-21,1,1.01,1,1,201291364,2874123859,1
38,18-Mar-21,1.01,1.01,0.9798,1,198666819,2868035135,1.005
39,17-Mar-21,1,1.01,0.9998,1.01,217950952,2861134335,1.005
40,16-Mar-21,1,1,1,1,281361723,2845438233,1
41,15-Mar-21,1,1,1,1,330087934,2773838478,1
42,14-Mar-21,1,1,1,1,243692916,2752612928,1
43,13-Mar-21,1,1,1,1,285401738,2741108680,1
44,12-Mar-21,1,1,1,1,276319938,2708872257,1
45,11-Mar-21,1,1,1,1,342377294,2637226772,1
46,10-Mar-21,1,1,1,1,295303873,2619436576,1
47,9-Mar-21,1,1,1,1,478041984,2616987843,1
48,8-Mar-21,1,1,1,1,334066348,2567499345,1
49,7-Mar-21,1,1,1,1,284908278,2555921014,1
50,6-Mar-21,1,1,1,1,246324482,2578917162,1
51,5-Mar-21,1,1,1,1,432706961,2551657209,1
52,4-Mar-21,1,1,1,1,344253034,2545764219,1
53,3-Mar-21,1,1,1,1,295066719,2531459607,1
54,2-Mar-21,1,1,1,1,412208887,2517016510,1
55,1-Mar-21,1,1,0.9987,1,398569958,2464576230,1
56,28-Feb-21,1,1.01,1,1,623940938,2339382380,1
57,27-Feb-21,1,1,1,1,301668906,2315557011,1
58,26-Feb-21,1,1,0.9999,1,527246365,2307470269,1
59,25-Feb-21,1,1,1,1,414868315,2326680913,1
60,24-Feb-21,1,1,1,1,633193752,2319954214,1
61,23-Feb-21,1,1.02,1,1,1303567116,2288351369,1
62,22-Feb-21,1,1.01,0.9998,1,840480068,2363613990,1
63,21-Feb-21,1,1,1,1,294869050,2379406775,1
64,20-Feb-21,1,1,1,1,409523226,2360117727,1
65,19-Feb-21,1,1,0.9989,1,353558289,2076146820,1
66,18-Feb-21,1,1,1,1,310793845,2075498623,1
67,17-Feb-21,1,1,1,1,299872020,2075895912,1
68,16-Feb-21,1,1,1,1,262073092,2076197918,1
