,Date,Open,High,Low,Close,dogeVolume,Market Cap,dogeMean
1,24-Apr-21,0.25,0.29,0.23,0.27,11057578568,34944176235,0.26
2,23-Apr-21,0.26,0.27,0.16,0.25,16165566164,32134070797,0.255
3,22-Apr-21,0.31,0.31,0.26,0.26,11879823706,33741377335,0.285
4,21-Apr-21,0.32,0.35,0.3,0.31,12723463706,39679105903,0.315
5,20-Apr-21,0.41,0.42,0.27,0.32,28130646191,41300434109,0.365
6,19-Apr-21,0.32,0.43,0.31,0.41,30641432779,52646623418,0.365
7,18-Apr-21,0.29,0.35,0.25,0.32,23464350388,41417581076,0.305
8,17-Apr-21,0.37,0.37,0.24,0.28,31413404067,36722073277,0.325
9,16-Apr-21,0.18,0.44,0.18,0.37,69410680685,47274068218,0.275
10,15-Apr-21,0.12,0.19,0.12,0.18,17916620386,23540494382,0.15
11,14-Apr-21,0.09,0.14,0.09,0.12,20977679327,15697925271,0.105
12,13-Apr-21,0.07,0.1,0.07,0.09,7176815090,12070137895,0.08
13,12-Apr-21,0.07,0.07,0.07,0.07,2687720380,9139899746,0.07
14,11-Apr-21,0.06,0.08,0.06,0.07,6646627317,9640258366,0.065
15,10-Apr-21,0.06,0.07,0.06,0.06,1369793118,8244132101,0.06
16,9-Apr-21,0.06,0.06,0.06,0.06,1060465774,7964226155,0.06
17,8-Apr-21,0.06,0.06,0.06,0.06,1055257541,7934992305,0.06
18,7-Apr-21,0.06,0.07,0.06,0.06,2857060849,7619768371,0.06
19,6-Apr-21,0.06,0.07,0.06,0.06,2608613912,8319797961,0.06
20,5-Apr-21,0.06,0.06,0.06,0.06,1513832721,7704287493,0.06
21,4-Apr-21,0.06,0.06,0.06,0.06,938035097,7407664648,0.06
22,3-Apr-21,0.06,0.06,0.06,0.06,1136931403,7200412904,0.06
23,2-Apr-21,0.06,0.06,0.06,0.06,2166925111,7439646120,0.06
24,1-Apr-21,0.05,0.07,0.05,0.06,5816046822,7996434168,0.055
25,31-Mar-21,0.05,0.05,0.05,0.05,653389282,6921249082,0.05
26,30-Mar-21,0.05,0.06,0.05,0.05,728906171,6951867440,0.05
27,29-Mar-21,0.05,0.05,0.05,0.05,537919140,6970630600,0.05
28,28-Mar-21,0.05,0.05,0.05,0.05,460472975,6924335588,0.05
29,27-Mar-21,0.05,0.06,0.05,0.05,753844053,7011100665,0.05
30,26-Mar-21,0.05,0.05,0.05,0.05,776280028,6955497857,0.05
31,25-Mar-21,0.05,0.05,0.05,0.05,1084214116,6632093766,0.05
32,24-Mar-21,0.05,0.06,0.05,0.05,934537959,6664029763,0.05
33,23-Mar-21,0.05,0.06,0.05,0.05,1040781777,6902245900,0.05
34,22-Mar-21,0.06,0.06,0.05,0.05,696918565,7082689335,0.055
35,21-Mar-21,0.06,0.06,0.06,0.06,759592996,7374772308,0.06
36,20-Mar-21,0.06,0.06,0.06,0.06,1012934488,7596414495,0.06
37,19-Mar-21,0.06,0.06,0.06,0.06,964747809,7514154611,0.06
38,18-Mar-21,0.06,0.06,0.05,0.06,909777445,7391550949,0.06
39,17-Mar-21,0.06,0.06,0.06,0.06,861926643,7425583380,0.06
40,16-Mar-21,0.06,0.06,0.06,0.06,1393771913,7547720122,0.06
