,Date,Open,High,Low,Close,ethVolume,Market Cap,ethMean
1,24-Apr-21,2367.2,2367.74,2163.69,2211.63,31854226936,2.56E+11,2289.415
2,23-Apr-21,2401.26,2439.54,2117.04,2363.59,55413933925,2.73E+11,2382.425
3,22-Apr-21,2357.87,2641.09,2315.96,2403.54,53575904724,2.78E+11,2380.705
4,21-Apr-21,2331.16,2467.2,2238.37,2364.75,38899067643,2.73E+11,2347.955
5,20-Apr-21,2161.94,2345.84,2060.14,2330.21,39433483315,2.69E+11,2246.075
6,19-Apr-21,2238.03,2276.78,2086.69,2166.19,34060654971,2.50E+11,2202.11
7,18-Apr-21,2346.45,2365.46,2011.77,2237.14,50696368718,2.58E+11,2291.795
8,17-Apr-21,2429.98,2497.39,2333.68,2344.89,32349808978,2.71E+11,2387.435
9,16-Apr-21,2516.6,2547.56,2318.68,2431.95,36196928256,2.81E+11,2474.275
10,15-Apr-21,2436.03,2544.27,2409.92,2519.12,32325606817,2.91E+11,2477.575
11,14-Apr-21,2299.35,2449.69,2284.56,2435.11,35592822986,2.81E+11,2367.23
12,13-Apr-21,2139.36,2318.42,2138.56,2299.19,29456642939,2.65E+11,2219.275
13,12-Apr-21,2157.36,2199.72,2110.37,2139.35,21727936609,2.47E+11,2148.355
14,11-Apr-21,2136.16,2165.19,2119.87,2157.66,19692836132,2.49E+11,2146.91
15,10-Apr-21,2071.11,2197,2062.79,2135.94,24986243611,2.47E+11,2103.525
16,9-Apr-21,2088.77,2102.87,2055.16,2072.11,19812472092,2.39E+11,2080.44
17,8-Apr-21,1969.13,2091.52,1959.08,2088.57,25312956529,2.41E+11,2028.85
18,7-Apr-21,2117.73,2133.19,1945.44,1971.08,36116271935,2.27E+11,2044.405
19,6-Apr-21,2109.49,2151.22,2057.61,2118.38,29222865881,2.44E+11,2113.935
20,5-Apr-21,2093.26,2140.99,2032.39,2107.89,28889391170,2.43E+11,2100.575
21,4-Apr-21,2027.67,2110.35,2007.11,2093.12,26006501902,2.41E+11,2060.395
22,3-Apr-21,2142.9,2144.96,2028.42,2028.42,32011518871,2.34E+11,2085.66
23,2-Apr-21,1976.93,2152.45,1960.68,2143.23,34862511022,2.47E+11,2060.08
24,1-Apr-21,1919.16,1989.06,1912.18,1977.28,30914259795,2.28E+11,1948.22
25,31-Mar-21,1846.1,1947.84,1793,1918.36,30226902621,2.21E+11,1882.23
26,30-Mar-21,1819.47,1860.97,1793.92,1846.03,22512781703,2.13E+11,1832.75
27,29-Mar-21,1691.26,1837.19,1683.72,1819.68,22796570548,2.10E+11,1755.47
28,28-Mar-21,1716.41,1728.58,1672.66,1691.36,16599472938,1.95E+11,1703.885
29,27-Mar-21,1703.04,1732.82,1674.32,1716.49,18102277710,1.98E+11,1709.765
30,26-Mar-21,1595.21,1702.92,1594.74,1702.84,22548516548,1.96E+11,1649.025
31,25-Mar-21,1593.12,1625.91,1560.37,1595.36,29650328701,1.84E+11,1594.24
32,24-Mar-21,1678,1740.43,1570.79,1593.41,31228051473,1.84E+11,1635.705
33,23-Mar-21,1690.87,1725.11,1662.54,1678.65,21998237965,1.93E+11,1684.76
