,Date,Open,High,Low,Close,ltcVolume,Market Cap,ltcMean
1,24-Apr-21,241.46,241.46,221.28,224.84,4567973779,15008330255,233.15
2,23-Apr-21,253.1,256.66,212.03,241.36,9252716255,16111281676,247.23
3,22-Apr-21,258.06,289.33,241.3,253.08,9862940091,16893590792,255.57
4,21-Apr-21,261.07,276.31,251.68,258.81,7698253801,17275898188,259.94
5,20-Apr-21,261.28,272.59,235.67,260.94,9446199109,17418464917,261.11
6,19-Apr-21,273.65,281.35,251.51,261.92,9384818110,17483740119,267.785
7,18-Apr-21,304.65,307.3,238.34,273.1,13129808269,18230006101,288.875
8,17-Apr-21,309.56,335.02,300.61,304.76,13254117896,20343460200,307.16
9,16-Apr-21,286.28,316.97,267.47,310.61,11850832933,20734150369,298.445
10,15-Apr-21,279.34,290.79,267.18,286.59,6470712244,19130613995,282.965
11,14-Apr-21,267.23,282.68,256.76,279.75,8215124752,18673881531,273.49
12,13-Apr-21,244.71,273.25,244.67,266.98,6908471654,17821657828,255.845
13,12-Apr-21,253.18,258.6,241.1,244.49,5220366581,16320589728,248.835
14,11-Apr-21,256.92,264.51,246.41,253.63,6786514965,16930713065,255.275
15,10-Apr-21,221.72,255.68,220.2,255.62,6686630635,17063265385,238.67
16,9-Apr-21,227.02,228.97,220.11,221.86,3137324847,14809848423,224.44
17,8-Apr-21,219.85,228.35,218.08,227,4532286410,15152999553,223.425
18,7-Apr-21,237.56,243.15,212.23,219.42,8711169124,14647060336,228.49
19,6-Apr-21,221.61,244.52,217.63,237.66,9267495720,15864706319,229.635
20,5-Apr-21,204.05,225.4,200.93,221.07,4789647554,14756892336,212.56
21,4-Apr-21,197.11,206.22,195.53,204.04,2866830149,13620356609,200.575
22,3-Apr-21,213.16,218.24,197.15,197.15,4020429578,13160118573,205.155
23,2-Apr-21,204.05,214.4,202.51,213.23,4095228243,14233509584,208.64
24,1-Apr-21,197.52,205.47,195.94,204.11,3871809467,13625003716,200.815
25,31-Mar-21,196.69,199.28,189.49,197.5,3416343750,13183541314,197.095
26,30-Mar-21,194.47,200.12,191.15,196.68,3604665752,13129004499,195.575
27,29-Mar-21,185.02,197.49,183.48,194.47,3353971422,12981660946,189.745
28,28-Mar-21,184.82,187.75,181.67,185.03,2162823815,12351098573,184.925
29,27-Mar-21,184.27,186.54,179.12,184.83,2408040965,12336637351,184.55
30,26-Mar-21,173.02,184.44,172.74,184.28,3109769980,12298583953,178.65
31,25-Mar-21,177.59,179.13,169.64,173.06,3429325350,11548812450,175.325
32,24-Mar-21,187.34,197.34,175.84,177.65,4051272249,11854104964,182.495
33,23-Mar-21,187.07,189.96,182.69,187.39,3047428308,12502735967,187.23
34,22-Mar-21,196.43,198.9,186.62,187.08,3115325434,12480313549,191.755
35,21-Mar-21,200.81,202.85,193.5,196.43,2758761604,13102583632,198.62
36,20-Mar-21,201.03,206.7,200.18,200.81,2529075165,13393101107,200.92
37,19-Mar-21,200.5,205.34,196.95,201.06,2807932048,13408836542,200.78
38,18-Mar-21,206.03,208.1,200.1,200.54,3719561575,13372309588,203.285
39,17-Mar-21,201.06,206.29,195.03,206.07,4362001168,13739726325,203.565
40,16-Mar-21,201.19,204.86,192.19,201.04,5270029739,13403133372,201.115
41,15-Mar-21,215.23,221.69,198.75,201.26,6186375403,13416579221,208.245
42,14-Mar-21,226.51,227.83,215.3,215.3,4537627844,14350314679,220.905
43,13-Mar-21,220.86,229.37,213.61,226.58,6378541696,15100529216,223.72
44,12-Mar-21,201.27,223.61,198.95,220.83,8079722567,14715870199,211.05
45,11-Mar-21,200.45,203.17,191.54,201.25,4823154653,13409899023,200.85
46,10-Mar-21,203.64,207.39,192.58,200.52,6296082804,13362305353,202.08
47,9-Mar-21,191.94,204.75,189.42,203.64,5408294951,13568866822,197.79
48,8-Mar-21,190.77,194.62,180.07,191.93,4401225306,12787203585,191.35
49,7-Mar-21,182.99,191.77,182.42,190.76,3541357558,12707914233,186.875
50,6-Mar-21,180.71,184.34,175.4,182.98,3799599706,12188376458,181.845
51,5-Mar-21,181.04,183.1,169.33,180.77,4560793618,12039353700,180.905
52,4-Mar-21,188.46,194.23,177.32,181.08,5488598135,12058928099,184.77
53,3-Mar-21,177.97,196.26,177.37,188.53,6392122021,12553608189,183.25
54,2-Mar-21,175.21,184.73,171.2,177.87,5247274825,11843018105,176.54
55,1-Mar-21,164.98,176.36,163.97,175.24,4627257694,11666301506,170.11
56,28-Feb-21,172.1,172.65,154.8,164.93,5945000101,10978655641,168.515
57,27-Feb-21,170.43,179.93,167.91,172.1,4991079437,11454859536,171.265
58,26-Feb-21,179.13,182.08,163.25,170.4,7875998386,11340299606,174.765
59,25-Feb-21,181.39,204.74,176.03,178.9,7327999233,11904886776,180.145
60,24-Feb-21,176.97,189.17,169.79,181.38,7205360252,12070508501,179.175
61,23-Feb-21,208.12,208.37,159.68,176.93,10944696472,11773563803,192.525
