,,TeatherVolume,TetherMean,USDCoinVolume,USDCoinMean,DaiVolume,DaiMean,BinanceUSDVolume,BinanceUSDMean,WbtcVolume,WbtcMean,BtcVolume,BtcMean,BinanceCoinVolume,BinanceCoinMean,ethVolume,ethMean,ltcVolume,ltcMean,xrpVolume,xrpMean,CardanoVolume,CardanoMean,dogeVolume,dogeMean,PolkaVolume,PolkaMean
1,24-Apr-21,105265000000,0.99995,1788061914.00,1,463129005,0.99985,4863225219,0.9999,169650614,50619.04,49014494781,50597.05,4070234640,511.59,31854226936,2289.415,4567973779,233.15,8573604939,1.04,3566224272,1.13,11057578568,0.26,2000992624,30.595
2,23-Apr-21,200928000000,0.99995,3676677427.00,1,887351576,0.99955,10624521474,1,333407802,51390.07,86668667320,51416.73,8893557870,516.215,55413933925,2382.425,9252716255,247.23,8586287312,1.11,7196378408,1.155,16165566164,0.255,4380184942,32.595
3,22-Apr-21,166853000000,0.99995,3112810473.00,0.9999,741321561,0.99975,9854348656,0.99995,333611918,52860.715,74798630778,52809.69,8342960849,525.01,53575904724,2380.705,9862940091,255.57,20235915090,1.165,4693396293,1.175,11879823706,0.285,3470349242,33.39
4,21-Apr-21,130530000000,0.99995,2311278586.00,1,541724830,0.99985,6822678754,1,211209162,55284.205,54926612466,55188.61,8456300946,566.46,38899067643,2347.955,7698253801,259.94,14899537552,1.225,4078624182,1.24,12723463706,0.315,2811533459,34.665
5,20-Apr-21,171215000000,0.9999,2318491536.00,1,504472488,0.99935,8141972355,1,227680971,56129.075,67849323955,56077.41,9330924061,545.415,39433483315,2246.075,9446199109,261.11,12545052977,1.345,4855633658,1.23,28130646191,0.365,3357861319,35.08
6,19-Apr-21,169647000000,0.99995,2323105009.00,1,552493254,0.9994,7509179326,0.99995,150640864,55977.83,65344865159,55957.925,7141301320,493.245,34060654971,2202.11,9384818110,267.785,15562116615,1.345,5665978235,1.24,30641432779,0.365,2813475560,36.095
7,18-Apr-21,226468000000,1.005,3829528301.00,1.005,796538401,1.0046,9846263412,1.005,318085370,58453.16,97468872758,58459.04,6711806048,500.81,50696368718,2291.795,13129808269,288.875,17637508685,1.365,7454680286,1.335,23464350388,0.305,5942657694,39.955
8,17-Apr-21,178501000000,1.005,2143517952.00,1.005,347273395,1.005,6905619164,1.005,105260446,61185.735,66138759198,61106.87,5195399091,515,32349808978,2387.435,13254117896,307.16,22933939682,1.485,4058018560,1.395,31413404067,0.325,4593280503,42.025
9,16-Apr-21,232378000000,1,2557259201.00,1,438568670,1,11217609808,1,183932110,62428.325,84293007468,62415.65,6886285728,526.395,36196928256,2474.275,11850832933,298.445,14507135285,1.555,5692183858,1.45,69410680685,0.275,2697585009,42.505
10,15-Apr-21,134206000000,1,1888693157.00,1,377419555,1,6612123049,1,185039834,63168.065,60954381579,63194.605,4608061831,546.52,32325606817,2477.575,6470712244,282.965,20594074869,1.66,5337358369,1.465,17916620386,0.15,2266870611,43.045
