,Date,Open,High,Low,Close,PolkaVolume,Market Cap,PolkaMean
1,24-Apr-21,32.26,32.39,28.57,28.93,2000992624,26981554376,30.595
2,23-Apr-21,32.96,33.46,27.13,32.23,4380184942,30046816983,32.595
3,22-Apr-21,33.79,36.71,32.81,32.99,3470349242,30745137197,33.39
4,21-Apr-21,35.46,36.26,33.11,33.87,2811533459,31559858460,34.665
5,20-Apr-21,34.72,35.73,31.64,35.44,3357861319,33018027789,35.08
6,19-Apr-21,37.37,38.69,34.07,34.82,2813475560,32422222570,36.095
7,18-Apr-21,42.56,43.11,32.87,37.35,5942657694,34770061976,39.955
8,17-Apr-21,41.51,48.36,41.5,42.54,4593280503,39591399258,42.025
9,16-Apr-21,43.47,43.8,40.16,41.54,2697585009,38632752999,42.505
10,15-Apr-21,42.57,44.3,41.52,43.52,2266870611,40458356426,43.045
11,14-Apr-21,42.9,44.53,40.11,42.64,2954854988,39634833632,42.77
12,13-Apr-21,40.45,43.32,39.86,42.95,2556927711,39909308744,41.7
13,12-Apr-21,41.42,41.73,39.45,40.5,1787924966,37621038919,40.96
14,11-Apr-21,41.61,41.93,39.99,41.42,1534168402,38470489157,41.515
15,10-Apr-21,40.83,42.75,39.98,41.63,1647212348,38627460964,41.23
16,9-Apr-21,41.35,42.05,40.16,40.85,1318352700,37897731571,41.1
17,8-Apr-21,39.63,41.51,39.35,41.37,1864637395,38338014018,40.5
18,7-Apr-21,43.42,43.48,38.05,39.59,3804483298,36684028924,41.505
19,6-Apr-21,45.81,46.23,41.86,43.43,3105511689,40227628839,44.62
20,5-Apr-21,44.67,45.85,42.25,45.8,2937995182,42409475220,45.235
21,4-Apr-21,41.61,45.22,41.08,44.65,3120632809,41344587412,43.13
22,3-Apr-21,41.18,46.85,41.07,41.65,5242091096,38552114089,41.415
23,2-Apr-21,37.63,41.38,36.89,41.16,2824216498,38097210602,39.395
24,1-Apr-21,37.09,38.99,36.19,37.67,2811720574,34849767584,37.38
25,31-Mar-21,34.08,38.2,33.52,37.03,3527967413,34243351177,35.555
26,30-Mar-21,34.36,34.78,33.61,34.07,1281200871,31495837002,34.215
27,29-Mar-21,32.29,34.69,31.86,34.37,1639815517,31772348772,33.33
28,28-Mar-21,32.64,33.25,31.47,32.3,1138942373,29845818892,32.47
29,27-Mar-21,33.2,33.53,31.23,32.66,1518535916,30174087039,32.93
30,26-Mar-21,29.97,33.44,29.94,33.2,1735749439,30664937495,31.585
31,25-Mar-21,30.36,31.23,28.67,29.98,3433822540,27682831356,30.17
32,24-Mar-21,34.45,36.15,28.34,30.44,2729222673,28093491363,32.445
33,23-Mar-21,35.51,36.4,34.27,34.46,1728982595,31800924930,34.985
34,22-Mar-21,36.79,37.78,35.4,35.54,1929884756,32787171367,36.165
35,21-Mar-21,37.36,38.15,36.2,36.79,1930244845,33936891287,37.075
36,20-Mar-21,38.29,40.13,37.34,37.35,2133559565,34442160749,37.82
37,19-Mar-21,35.5,38.97,34.89,38.27,2491198971,35283417850,36.885
38,18-Mar-21,36.11,36.95,35.46,35.52,1639504240,32732241794,35.815
39,17-Mar-21,35.44,36.36,34.56,36.14,2111418087,33288119794,35.79
40,16-Mar-21,34.34,35.45,32.24,35.43,2518683414,32624297093,34.885
41,15-Mar-21,36.56,38.38,34.13,34.36,2905566504,31628536887,35.46
42,14-Mar-21,37.17,37.87,36.34,36.58,1640191647,33665914793,36.875
43,13-Mar-21,35.99,38.15,34.81,37.16,2115307643,34191013936,36.575
44,12-Mar-21,36.89,37.43,34.69,35.99,2198904040,33082975405,36.44
45,11-Mar-21,37.54,37.97,35.96,36.88,2563507906,33892867858,37.21
46,10-Mar-21,38.18,39.42,36.44,37.57,3143656899,34509354022,37.875
47,9-Mar-21,34.93,38.75,34.6,38.19,3020766952,35076916392,36.56
48,8-Mar-21,35.18,35.49,33.51,34.91,1855547495,31990861423,35.045
49,7-Mar-21,33.43,35.22,33.39,35.19,1607577506,32235883115,34.31
50,6-Mar-21,33.69,34.15,32.18,33.43,1637892896,30620375379,33.56
51,5-Mar-21,35.32,35.32,31.58,33.72,3035955286,30877097836,34.52
52,4-Mar-21,37.04,38.28,34.45,35.33,2868268909,32332933421,36.185
53,3-Mar-21,36.16,38.55,36.16,37.04,2683665084,33889450252,36.6
54,2-Mar-21,35.59,37.76,34.59,36.15,3752858101,33066586008,35.87
55,1-Mar-21,33.64,35.58,33.19,35.58,3311498739,32539365963,34.61
56,28-Feb-21,33.45,34.61,29.96,33.61,4567616883,30723422512,33.53
57,27-Feb-21,31.4,35.52,31.4,33.45,4507278636,30567858010,32.425
58,26-Feb-21,31.14,33.5,28.1,31.35,5147313878,28635864216,31.245
59,25-Feb-21,33.62,35.08,31.06,31.08,3470266685,28386405742,32.35
60,24-Feb-21,34.33,36.75,31.98,33.63,4724242062,30706882059,33.98
61,23-Feb-21,37.66,37.71,26.76,34.3,7502138162,31292320714,35.98
62,22-Feb-21,39.7,39.7,31.36,37.69,5770512363,34365198828,38.695
63,21-Feb-21,39.17,40.47,38.15,39.7,3721239427,36134675190,39.435
64,20-Feb-21,34.8,42.06,34.8,39.24,6056666198,35712761350,37.02
65,19-Feb-21,31.19,34.99,29.63,34.79,3466759116,31650533003,32.99
66,18-Feb-21,31.98,32.58,30.63,31.18,1992921511,29226703999,31.58
67,17-Feb-21,30.16,32.35,29.73,31.99,4292546900,29077428853,31.075
68,16-Feb-21,27.76,30.97,26.96,30.16,5274752208,27409464568,28.96
69,15-Feb-21,27.06,29.45,23.61,27.78,5407907535,25240366453,27.42
70,14-Feb-21,28.01,29.37,26.54,27.1,3550653217,24608750493,27.555
71,13-Feb-21,28.69,30.15,27.47,28.02,4947621076,26570627681,28.355
72,12-Feb-21,25.17,29.67,24.55,28.69,4562466560,26041864560,26.93
73,11-Feb-21,23.59,25.58,23.33,25.23,4060334812,22891907598,24.41
74,10-Feb-21,23.11,24.79,22.14,23.59,4203061885,21431620371,23.35
75,9-Feb-21,23.03,24.05,22.37,23.13,3446396914,21013455490,23.08
76,8-Feb-21,19.78,23.61,19.23,23.03,4736654531,20918997056,21.405
77,7-Feb-21,20.39,20.78,18.62,19.79,3038407999,17972785450,20.09
78,6-Feb-21,20.89,21.3,19.81,20.4,2622835076,18510385438,20.645
79,5-Feb-21,19.69,21.28,19.53,20.9,3387079061,18965454796,20.295
80,4-Feb-21,20.73,21.56,19.04,19.7,4858842246,17871050304,20.215
81,3-Feb-21,17.25,20.73,16.84,20.73,4685307862,18799060619,18.99
82,2-Feb-21,16.38,17.6,16.04,17.26,2658383686,15648346887,16.82
83,1-Feb-21,16.12,16.52,15.74,16.38,2228986208,14839696019,16.25
84,31-Jan-21,16.51,17.46,15.81,16.12,2540474629,14603207739,16.315
85,30-Jan-21,16.84,17.05,16.16,16.51,1998709420,14948992534,16.675
