DATE,DSPIC96
1/1/2013,12266.2
2/1/2013,12204.5
3/1/2013,12223.3
4/1/2013,12271.2
5/1/2013,12341.6
6/1/2013,12354.3
7/1/2013,12341.1
8/1/2013,12368.3
9/1/2013,12418.3
10/1/2013,12385.5
11/1/2013,12424.9
12/1/2013,12463.9
1/1/2014,12523.4
2/1/2014,12600.7
3/1/2014,12669.6
4/1/2014,12717.4
5/1/2014,12765.7
6/1/2014,12824.7
7/1/2014,12864.5
8/1/2014,12925.3
9/1/2014,12965.2
10/1/2014,13020.2
11/1/2014,13083.2
12/1/2014,13164
1/1/2015,13262
2/1/2015,13313.1
3/1/2015,13275.3
4/1/2015,13301.7
5/1/2015,13324.8
6/1/2015,13337.8
7/1/2015,13378
8/1/2015,13413.1
9/1/2015,13450
10/1/2015,13473.1
11/1/2015,13467.8
12/1/2015,13530.7
1/1/2016,13580.2
2/1/2016,13595.7
3/1/2016,13606.6
4/1/2016,13587.4
5/1/2016,13581
6/1/2016,13587.3
7/1/2016,13630
8/1/2016,13639.6
9/1/2016,13679.8
10/1/2016,13708.5
11/1/2016,13736.1
12/1/2016,13759.9
1/1/2017,13824.9
2/1/2017,13875.1
3/1/2017,13942.1
4/1/2017,13967
5/1/2017,14059.6
6/1/2017,14063.7
7/1/2017,14103.1
8/1/2017,14122.8
9/1/2017,14150.3
10/1/2017,14187.8
11/1/2017,14202.8
12/1/2017,14227
1/1/2018,14342.7
2/1/2018,14379.4
3/1/2018,14437.8
4/1/2018,14471.5
5/1/2018,14512.2
6/1/2018,14557.1
7/1/2018,14609.9
8/1/2018,14649.7
9/1/2018,14638.2
10/1/2018,14670.6
11/1/2018,14688.9
12/1/2018,14837.3
1/1/2019,14840.9
2/1/2019,14864.1
3/1/2019,14855.7
4/1/2019,14817.2
5/1/2019,14809.6
6/1/2019,14826.8
7/1/2019,14840.3
8/1/2019,14912.4
9/1/2019,14933.6
10/1/2019,14936.2
11/1/2019,14997.2
12/1/2019,14960.2
1/1/2020,15070.2
2/1/2020,15162.6
3/1/2020,14949.3
4/1/2020,17287.1
5/1/2020,16453.5
6/1/2020,16149.8
7/1/2020,16203.6
8/1/2020,15635.9
9/1/2020,15714.8
10/1/2020,15574.4
11/1/2020,15349.3
12/1/2020,15377.5
1/1/2021,17079.4
2/1/2021,15681
