,Date,Open,High,Low,Close,Volume
1,23-Apr-21,"4,138.78","4,194.17","4,138.78","4,180.17","3,568,080,000"
2,22-Apr-21,"4,170.46","4,179.57","4,123.69","4,134.98","4,235,040,000"
3,21-Apr-21,"4,128.42","4,175.02","4,126.35","4,173.42","3,865,820,000"
4,20-Apr-21,"4,159.18","4,159.18","4,118.38","4,134.94","4,338,230,000"
5,19-Apr-21,"4,179.80","4,180.81","4,150.47","4,163.26","3,788,020,000"
6,16-Apr-21,"4,174.14","4,191.31","4,170.75","4,185.47","4,157,430,000"
7,15-Apr-21,"4,139.76","4,173.49","4,139.76","4,170.42","4,027,680,000"
8,14-Apr-21,"4,141.58","4,151.69","4,120.87","4,124.66","3,976,540,000"
9,13-Apr-21,"4,130.10","4,148.00","4,124.43","4,141.59","3,728,440,000"
10,12-Apr-21,"4,124.71","4,131.76","4,114.82","4,127.99","3,578,500,000"
11,9-Apr-21,"4,096.11","4,129.48","4,095.51","4,128.80","3,634,910,000"
12,8-Apr-21,"4,089.95","4,098.19","4,082.54","4,097.17","3,901,910,000"
13,7-Apr-21,"4,074.29","4,083.13","4,068.31","4,079.95","4,112,640,000"
14,6-Apr-21,"4,075.57","4,086.23","4,068.14","4,073.94","4,027,880,000"
15,5-Apr-21,"4,034.44","4,083.42","4,034.44","4,077.91","3,999,760,000"
16,1-Apr-21,"3,992.78","4,020.63","3,992.78","4,019.87","4,151,240,000"
17,31-Mar-21,"3,967.25","3,994.41","3,966.98","3,972.89","4,564,980,000"
18,30-Mar-21,"3,963.34","3,968.01","3,944.35","3,958.55","4,103,570,000"
19,29-Mar-21,"3,969.31","3,981.83","3,943.25","3,971.09","4,619,840,000"
20,26-Mar-21,"3,917.12","3,978.19","3,917.12","3,974.54","5,467,850,000"
21,25-Mar-21,"3,879.34","3,919.54","3,853.50","3,909.52","4,940,800,000"
22,24-Mar-21,"3,919.93","3,942.08","3,889.07","3,889.14","4,766,990,000"
23,23-Mar-21,"3,937.60","3,949.13","3,901.57","3,910.52","4,645,340,000"
24,22-Mar-21,"3,916.48","3,955.31","3,914.16","3,940.59","4,311,380,000"
25,19-Mar-21,"3,913.14","3,930.12","3,886.75","3,913.10","7,725,050,000"
26,18-Mar-21,"3,953.50","3,969.62","3,910.86","3,915.46","4,043,170,000"
27,17-Mar-21,"3,949.57","3,983.87","3,935.74","3,974.12","4,541,620,000"
28,16-Mar-21,"3,973.59","3,981.04","3,953.44","3,962.71","4,604,870,000"
29,15-Mar-21,"3,942.96","3,970.08","3,923.54","3,968.94","4,882,190,000"
30,12-Mar-21,"3,924.52","3,944.99","3,915.21","3,943.34","4,469,240,000"
31,11-Mar-21,"3,915.54","3,960.27","3,915.54","3,939.34","5,300,010,000"
32,10-Mar-21,"3,891.99","3,917.35","3,885.73","3,898.81","5,827,250,000"
33,9-Mar-21,"3,851.93","3,903.76","3,851.93","3,875.44","5,496,340,000"
34,8-Mar-21,"3,844.39","3,881.06","3,819.25","3,821.35","5,852,240,000"
35,5-Mar-21,"3,793.58","3,851.69","3,730.19","3,841.94","6,842,570,000"
36,4-Mar-21,"3,818.53","3,843.67","3,723.34","3,768.47","7,142,240,000"
37,3-Mar-21,"3,863.99","3,874.47","3,818.86","3,819.72","6,150,790,000"
38,2-Mar-21,"3,903.64","3,906.41","3,868.57","3,870.29","5,493,690,000"
39,1-Mar-21,"3,842.51","3,914.50","3,842.51","3,901.82","5,071,540,000"
40,26-Feb-21,"3,839.66","3,861.08","3,789.54","3,811.15","6,512,950,000"
41,25-Feb-21,"3,915.80","3,925.02","3,814.04","3,829.34","6,513,060,000"
42,24-Feb-21,"3,873.71","3,928.65","3,859.60","3,925.43","5,942,350,000"
43,23-Feb-21,"3,857.07","3,895.98","3,805.59","3,881.37","6,280,650,000"
44,22-Feb-21,"3,885.55","3,902.92","3,874.71","3,876.50","5,870,190,000"
45,19-Feb-21,"3,921.16","3,930.41","3,903.07","3,906.71","4,823,940,000"
46,18-Feb-21,"3,915.86","3,921.98","3,885.03","3,913.97","4,773,430,000"
47,17-Feb-21,"3,918.50","3,933.61","3,900.43","3,931.33","4,718,280,000"
48,16-Feb-21,"3,939.61","3,950.43","3,923.85","3,932.59","5,037,360,000"
49,12-Feb-21,"3,911.65","3,937.23","3,905.78","3,934.83","4,119,260,000"
