Date,Open,High,Low,Close,TeatherVolume,Market cap,TetherMean
24-Apr-21,1,1,0.9998,0.9999,105265000000.00,49426761825,0.99995
23-Apr-21,0.9999,1,0.9998,1,200928000000.00,49288865014,0.99995
22-Apr-21,0.9999,1,0.9998,1,166853000000.00,49325346964,0.99995
21-Apr-21,1,1,0.9998,0.9999,130530000000.00,49056479729,0.99995
20-Apr-21,0.9999,1,0.9998,0.9999,171215000000.00,48686983805,0.9999
19-Apr-21,1,1,0.9998,0.9999,169647000000.00,48140002226,0.99995
18-Apr-21,1.01,1.03,0.9998,1,226468000000.00,48080200312,1.005
17-Apr-21,1,1.01,0.9995,1.01,178501000000.00,48354952205,1.005
16-Apr-21,1,1,1,1,232378000000.00,46981343646,1
15-Apr-21,1,1,1,1,134206000000.00,46531190377,1
14-Apr-21,0.9992,1,0.999,1,172073000000.00,45928655478,0.9996
13-Apr-21,1,1,0.9988,0.9993,137133000000.00,45355595567,0.99965
12-Apr-21,1,1,0.9989,0.9999,106711000000.00,44447108385,0.99995
11-Apr-21,1,1,0.9987,1,100278000000.00,44521618210,1
10-Apr-21,1,1,0.9974,1,111560000000.00,44397226113,1
9-Apr-21,1,1,1,1,86500025530.00,43841876425,1
8-Apr-21,1,1,1,1,100310000000.00,43647092968,1
7-Apr-21,1,1,1,1,161006000000.00,43135955532,1
6-Apr-21,1,1,0.9995,1,145941000000.00,43062968453,1
5-Apr-21,1,1,0.9998,1,132303000000.00,42390503282,1
4-Apr-21,1,1.01,1,1,99459708393.00,42503862984,1
3-Apr-21,1,1,0.998,1,109584000000.00,42440290238,1
2-Apr-21,1,1,0.9984,1,103736000000.00,41708271322,1
1-Apr-21,1,1,0.9997,1,108310000000.00,40742058575,1
31-Mar-21,1,1,0.9994,1,111254000000.00,40723981487,1
30-Mar-21,0.9998,1,0.999,1,82702790409.00,40681086817,0.9999
29-Mar-21,1,1,0.9993,0.9998,80873581836.00,40467698670,0.9999
28-Mar-21,1,1,1,1,69313550904.00,40500517197,1
27-Mar-21,1,1,0.9999,1,73586222744.00,40185072295,1
26-Mar-21,1,1,0.9996,1,82935770974.00,40274665487,1
25-Mar-21,1,1,0.9997,1,97273950074.00,40329456619,1
24-Mar-21,1,1,0.9997,1,97177670255.00,39890351375,1
23-Mar-21,1,1,1,1,87718238071.00,39702747918,1
22-Mar-21,1,1,0.999,1,86052511859.00,39626700644,1
21-Mar-21,1,1,0.9995,1,75434025575.00,39567651238,1
20-Mar-21,1,1,1,1,78910215980.00,39525018904,1
19-Mar-21,1,1,1,1,78992617747.00,39311262206,1
18-Mar-21,0.999,1,0.9987,1,87360030730.00,38904898368,0.9995
17-Mar-21,1,1,0.9991,0.9991,94297363539.00,38660244602,0.99955
16-Mar-21,1,1,0.9992,1,101176000000.00,38647978371,1
15-Mar-21,0.9998,1,0.9994,1,110958000000.00,38529973461,0.9999
14-Mar-21,0.9998,1,0.9995,0.9998,83527066354.00,38235568475,0.9998
13-Mar-21,1,1,0.9993,0.9998,105302000000.00,38224664052,0.9999
12-Mar-21,1,1,0.9999,1,99392797660.00,38119626345,1
11-Mar-21,1,1,0.9999,1,93576067866.00,37514467151,1
10-Mar-21,1,1,1,1,94996172814.00,37086634927,1
9-Mar-21,1,1,1,1,95447392493.00,36818376521,1
8-Mar-21,1,1,1,1,88859705060.00,36482628339,1
7-Mar-21,1,1,1,1,70107811561.00,36472973682,1
6-Mar-21,1,1,0.9993,1,66739320404.00,36438046373,1
5-Mar-21,1,1,0.9998,1,87483469989.00,36394667328,1
4-Mar-21,1,1,0.9996,1,103245000000.00,36266584108,1
3-Mar-21,1,1,1,1,94786928488.00,35886328358,1
