,Date,Open,High,Low,Close,xrpVolume,Market Cap,xrpMean
1,25-Apr-21,1.05,1.15,0.9529,1.03,8573604939,46868572793,1.04
2,24-Apr-21,1.17,1.17,1.02,1.05,8586287312,47615469344,1.11
3,23-Apr-21,1.16,1.19,0.9011,1.17,20235915090,53107262635,1.165
4,22-Apr-21,1.29,1.41,1.12,1.16,14899537552,52654229111,1.225
5,21-Apr-21,1.39,1.46,1.28,1.3,12545052977,58866221974,1.345
6,20-Apr-21,1.31,1.45,1.19,1.38,15562116615,62807347013,1.345
7,19-Apr-21,1.41,1.53,1.26,1.32,17637508685,59708309820,1.365
8,18-Apr-21,1.56,1.58,1.17,1.41,22933939682,63837977820,1.485
9,17-Apr-21,1.55,1.74,1.54,1.56,14507135285,70832766981,1.555
10,16-Apr-21,1.76,1.81,1.45,1.56,20594074869,70717988351,1.66
11,15-Apr-21,1.84,1.88,1.66,1.77,15403982671,80186544122,1.805
12,14-Apr-21,1.79,1.96,1.58,1.84,29025829007,83508712026,1.815
13,13-Apr-21,1.47,1.89,1.42,1.79,31123574741,81454889101,1.63
14,12-Apr-21,1.35,1.47,1.32,1.47,13216559312,66641080474,1.41
15,11-Apr-21,1.37,1.49,1.31,1.36,21224874412,61773544985,1.365
16,10-Apr-21,1.02,1.39,1.01,1.37,25547794935,62404026788,1.195
17,9-Apr-21,1.05,1.08,0.9866,1.02,10235269531,46350091394,1.035
18,8-Apr-21,0.9191,1.07,0.9056,1.05,12888349509,47799382930,0.98455
19,7-Apr-21,1.1,1.1,0.8694,0.9176,21942171678,41661654118,1.0088
20,6-Apr-21,0.9169,1.12,0.8244,1.1,36955175105,49774875598,1.00845
21,5-Apr-21,0.6467,0.9369,0.634,0.9205,26415199263,41793184885,0.7836
22,4-Apr-21,0.5909,0.647,0.583,0.6467,4613898769,29364108461,0.6188
23,3-Apr-21,0.6168,0.6534,0.5877,0.5909,6757992981,26829923528,0.60385
24,2-Apr-21,0.5794,0.6174,0.5752,0.6166,5404854336,27994707394,0.598
25,1-Apr-21,0.574,0.5958,0.559,0.5793,4725008531,26302184999,0.57665
26,31-Mar-21,0.5668,0.5792,0.5447,0.5739,4849764990,26055985343,0.57035
27,30-Mar-21,0.5677,0.5859,0.5631,0.5669,3831603058,25737663165,0.5673
28,29-Mar-21,0.5506,0.5707,0.5482,0.5679,3549650231,25783622951,0.55925
29,28-Mar-21,0.5504,0.5622,0.5455,0.5508,2795107715,25006533342,0.5506
30,27-Mar-21,0.5672,0.5759,0.5398,0.5504,3684247475,24992351034,0.5588
